"GEOGRAPHY_CODE"	"OBS_VALUE"
"E01000001"	0.0
"E01000002"	0.1
"E01000003"	0.0
"E01000005"	0.2
"E01000006"	5.7
"E01000007"	2.2
"E01000008"	1.3
"E01000009"	5.3
"E01000010"	2.0
"E01000011"	8.8
"E01000012"	4.2
"E01000013"	4.9
"E01000014"	2.9
"E01000015"	2.8
"E01000016"	4.7
"E01000017"	3.2
"E01000018"	4.5
"E01000019"	4.5
"E01000020"	4.2
"E01000021"	2.5
"E01000022"	4.8
"E01000023"	2.6
"E01000024"	4.8
"E01000025"	5.0
"E01000027"	6.2
"E01000028"	3.0
"E01000029"	3.5
"E01000030"	1.8
"E01000031"	4.5
"E01000032"	4.2
"E01000033"	2.0
"E01000034"	7.0
"E01000035"	1.5
"E01000036"	3.5
"E01000037"	2.7
"E01000038"	1.2
"E01000039"	4.8
"E01000040"	3.7
"E01000041"	4.1
"E01000042"	4.4
"E01000043"	4.7
"E01000044"	8.1
"E01000045"	5.0
"E01000046"	4.7
"E01000048"	0.3
"E01000049"	2.3
"E01000050"	5.4
"E01000051"	0.5
"E01000052"	6.0
"E01000053"	4.1
"E01000054"	6.3
"E01000055"	4.5
"E01000056"	3.9
"E01000057"	3.5
"E01000058"	5.3
"E01000059"	5.7
"E01000060"	2.5
"E01000061"	0.7
"E01000062"	3.0
"E01000063"	3.7
"E01000064"	3.1
"E01000065"	4.0
"E01000066"	6.2
"E01000067"	2.5
"E01000068"	5.5
"E01000069"	2.5
"E01000070"	3.9
"E01000071"	3.3
"E01000072"	4.0
"E01000073"	5.7
"E01000074"	4.4
"E01000075"	5.7
"E01000076"	4.8
"E01000077"	4.0
"E01000078"	3.5
"E01000079"	3.7
"E01000080"	5.7
"E01000081"	3.7
"E01000082"	4.0
"E01000083"	3.9
"E01000084"	4.2
"E01000085"	3.8
"E01000086"	6.9
"E01000087"	3.3
"E01000088"	4.4
"E01000089"	3.7
"E01000090"	6.4
"E01000091"	4.8
"E01000092"	3.8
"E01000093"	2.0
"E01000094"	4.2
"E01000095"	5.3
"E01000096"	2.5
"E01000097"	5.0
"E01000098"	4.4
"E01000099"	4.0
"E01000100"	3.7
"E01000101"	4.6
"E01000102"	3.8
"E01000103"	2.9
"E01000104"	5.7
"E01000105"	2.6
"E01000106"	2.1
"E01000107"	13.2
"E01000108"	3.2
"E01000109"	3.9
"E01000110"	6.7
"E01000111"	4.3
"E01000112"	2.8
"E01000113"	2.8
"E01000114"	4.8
"E01000115"	25.7
"E01000116"	2.4
"E01000117"	2.6
"E01000118"	2.5
"E01000119"	10.4
"E01000120"	5.1
"E01000121"	2.8
"E01000122"	4.7
"E01000123"	5.1
"E01000124"	3.4
"E01000125"	3.2
"E01000126"	3.6
"E01000127"	3.3
"E01000128"	4.1
"E01000129"	1.4
